numero_compteur,avg_amperage_per_day,median_amperage_per_day,avg_depense_per_day,jours_observed,records_per_day_avg,zone,type_maison,nombre_personnes,ratio_depense_amperage,niveau_conso,niveau_conso_pred,prob_petit,prob_moyen,prob_grand,confiance
#0054,0.18,0.18,0.0018,1,5.0,Zone Inconnue,Rezidansyel,4.0,0.009999999944444445,petit,grand,0.00016248811,0.00025878925,0.9995788,0.9995788
0010713,2.08,2.08,0.01836,1,14.0,Zone Inconnue,Rezidansyel,4.0,0.008826923072679365,moyen,moyen,0.00037085192,0.9993666,0.00026258206,0.9993666
001jp,71.72749999999999,17.93,0.623747,20,65.65,Zone Inconnue,Rezidansyel,4.0,0.00869606496798723,grand,petit,0.9996531,0.000208282,0.00013863013,0.9996531
010591,13.02,13.02,0.1519,1,40.0,Zone Inconnue,Rezidansyel,4.0,0.01166666666577061,grand,petit,0.9993711,0.00038681514,0.00024205002,0.9993711
010796,2.44,2.44,0.028466666666666664,1,34.0,Zone Inconnue,Rezidansyel,4.0,0.011666666661885245,moyen,moyen,0.00022565294,0.99950194,0.00027241587,0.99950194
010870,0.0,0.0,0.0,1,5.0,Zone Inconnue,Rezidansyel,4.0,0.0,petit,grand,0.0003243646,0.0004932267,0.9991824,0.9991824
4444555,0.0,0.0,0.0,1,3.0,Zone Inconnue,Rezidansyel,4.0,0.0,petit,grand,0.0003243646,0.0004932267,0.9991824,0.9991824
ESP-02D48F,0.11,0.11,0.0012733333333333331,2,17.0,Zone Inconnue,Rezidansyel,4.0,0.011575757470523414,petit,grand,0.00016622807,0.00023553468,0.9995982,0.9995982
ESP-031CFE,12.91,1.76,0.10138142857142855,7,16.428571428571427,Zone Inconnue,Rezidansyel,4.0,0.007852937921268444,grand,petit,0.9996382,0.00022315526,0.00013862806,0.9996382
ESP-044D9F,1.2035,1.15,0.013003333333333334,20,20.75,Zone Inconnue,Rezidansyel,4.0,0.010804597692171777,petit,grand,0.00014978884,0.0002307224,0.9996195,0.9996195
ESP-066D5F,0.0975,0.08,0.0010374999999999998,4,9.75,Zone Inconnue,Rezidansyel,4.0,0.010641025531886915,petit,grand,0.0001595468,0.00020823794,0.99963224,0.99963224
ESP-080981,0.0,0.0,0.0,1,77.0,Zone Inconnue,Rezidansyel,4.0,0.0,petit,grand,0.0003243646,0.0004932267,0.9991824,0.9991824
ESP-0B3E7D,1.0888235294117645,0.55,0.011835882352941177,17,12.588235294117647,Zone Inconnue,Rezidansyel,4.0,0.010870340346580456,petit,grand,0.00016248654,0.0002092825,0.9996282,0.9996282
ESP-0EBB7E,14.03,3.99,0.15415178571428573,56,20.571428571428573,Zone Inconnue,Rezidansyel,4.0,0.01098729762674971,grand,petit,0.9993413,0.00043859694,0.00022002067,0.9993413
ESP-0F66F6,1.6952777777777779,1.2850000000000001,0.01946429012345679,108,9.101851851851851,Zone Inconnue,Rezidansyel,4.0,0.011481475406048028,moyen,moyen,0.00018693393,0.9996087,0.00020436557,0.9996087
ESP-118488,0.30000000000000004,0.30000000000000004,0.0035000000000000005,1,7.0,Zone Inconnue,Rezidansyel,4.0,0.011666666627777777,petit,grand,0.00016622807,0.00023553468,0.9995982,0.9995982
ESP-11D517,3.4520000000000004,3.38,0.036238,5,43.8,Zone Inconnue,Rezidansyel,4.0,0.010497682499855826,moyen,moyen,0.00036580168,0.9993771,0.00025720336,0.9993771
ESP-120C57,6.076666666666667,2.84,0.06539777777777779,3,19.0,Zone Inconnue,Rezidansyel,4.0,0.010762113730172627,grand,petit,0.99953187,0.0002778342,0.00019028221,0.99953187
ESP-160EDC,0.5975,0.135,0.005591041666666666,32,11.125,Zone Inconnue,Rezidansyel,4.0,0.009357391895078284,petit,grand,0.00017574841,0.0003366406,0.99948764,0.99948764
ESP-18AFBF,12.352,2.27,0.13763466666666666,5,25.6,Zone Inconnue,Rezidansyel,4.0,0.01114270293519462,grand,petit,0.9995283,0.00027498472,0.00019675712,0.9995283
ESP-1A9283,2.164,2.1,0.022334,5,22.8,Zone Inconnue,Rezidansyel,4.0,0.010320702398188214,moyen,moyen,0.00020626432,0.99958986,0.00020389588,0.99958986
ESP-1B7456,0.44589285714285715,0.11,0.00427202380952381,56,7.607142857142857,Zone Inconnue,Rezidansyel,4.0,0.009580830308242165,petit,grand,0.00019135972,0.00039111855,0.99941754,0.99941754
ESP-1D422F,352.78,352.78,2.5870533333333334,1,27.0,Zone Inconnue,Rezidansyel,4.0,0.007333333333312547,grand,petit,0.9996382,0.00022315526,0.00013862806,0.9996382
ESP-2D0FB8,1.33,1.33,0.015516666666666666,1,11.0,Zone Inconnue,Rezidansyel,4.0,0.011666666657894736,petit,grand,0.0026557625,0.02358126,0.973763,0.973763
ESP-2D1267,1.17,1.17,0.01365,1,6.0,Zone Inconnue,Rezidansyel,4.0,0.011666666656695157,petit,grand,0.0001671903,0.0004460211,0.9993868,0.9993868
ESP-32E606,4.0025,2.62,0.033354166666666664,4,23.5,Zone Inconnue,Rezidansyel,4.0,0.008333333331251299,grand,petit,0.9987606,0.0010512462,0.0001882334,0.9987606
ESP-356D3F,31.278888888888886,19.21,0.29631111111111114,9,20.88888888888889,Zone Inconnue,Rezidansyel,4.0,0.009473198109888607,grand,petit,0.99959725,0.0002506271,0.00015214022,0.99959725
ESP-36ED7C,1.7916666666666667,1.7000000000000002,0.016976666666666668,6,16.333333333333332,Zone Inconnue,Rezidansyel,4.0,0.009475348831920735,moyen,moyen,0.00022821297,0.9995764,0.00019538491,0.9995764
ESP-36F72D,6.242500000000001,5.07,0.06666666666666667,4,19.25,Zone Inconnue,Rezidansyel,4.0,0.01067948204341004,grand,petit,0.99953187,0.0002778342,0.00019028221,0.99953187
ESP-36FC06,0.22,0.22,0.0019066666666666663,1,22.0,Zone Inconnue,Rezidansyel,4.0,0.008666666627272725,petit,grand,0.0003188896,0.00042439922,0.9992567,0.9992567
